,Method,Matching Field,Ranking Field,Loss,Training Data,Negative Sampling,NDCG@3,NDCG@5,NDCG@10,P@3,P@5,P@10,MAP
0,Unsupervised,answer,,,,,0.5075,0.1871,0.5364,0.1265,0.5759,0.0755,0.5295
1,Unsupervised,question,,,,,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9898
2,Unsupervised,question_answer,,,,,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9898
3,Unsupervised,question_answer_concat,,,,,0.9887,0.3333,0.9887,0.2000,0.9887,0.1000,0.9847
4,Supervised,answer,BERT-Q-a,triplet,faq,simple,0.5287,0.1905,0.5713,0.1347,0.6111,0.0796,0.5637
5,Supervised,question,BERT-Q-a,triplet,faq,simple,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
6,Supervised,question_answer,BERT-Q-a,triplet,faq,simple,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
7,Supervised,question_answer_concat,BERT-Q-a,triplet,faq,simple,0.9925,0.3333,0.9925,0.2000,0.9925,0.1000,0.9898
8,Supervised,answer,BERT-Q-a,triplet,faq,hard,0.5426,0.1973,0.5808,0.1367,0.6276,0.0827,0.5738
9,Supervised,question,BERT-Q-a,triplet,faq,hard,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
10,Supervised,question_answer,BERT-Q-a,triplet,faq,hard,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
11,Supervised,question_answer_concat,BERT-Q-a,triplet,faq,hard,0.9925,0.3333,0.9925,0.2000,0.9925,0.1000,0.9898
12,Supervised,answer,BERT-Q-a,triplet,user_query,simple,0.5273,0.1905,0.5655,0.1327,0.6121,0.0806,0.5611
13,Supervised,question,BERT-Q-a,triplet,user_query,simple,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
14,Supervised,question_answer,BERT-Q-a,triplet,user_query,simple,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
15,Supervised,question_answer_concat,BERT-Q-a,triplet,user_query,simple,0.9887,0.3333,0.9887,0.2000,0.9887,0.1000,0.9847
16,Supervised,answer,BERT-Q-a,triplet,user_query,hard,0.5375,0.1939,0.5880,0.1408,0.6273,0.0827,0.5733
17,Supervised,question,BERT-Q-a,triplet,user_query,hard,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
18,Supervised,question_answer,BERT-Q-a,triplet,user_query,hard,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
19,Supervised,question_answer_concat,BERT-Q-a,triplet,user_query,hard,0.9925,0.3333,0.9925,0.2000,0.9925,0.1000,0.9898
20,Supervised,answer,BERT-Q-a,softmax,faq,simple,0.5145,0.1905,0.5395,0.1265,0.5789,0.0755,0.5360
21,Supervised,question,BERT-Q-a,softmax,faq,simple,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
22,Supervised,question_answer,BERT-Q-a,softmax,faq,simple,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
23,Supervised,question_answer_concat,BERT-Q-a,softmax,faq,simple,0.9887,0.3333,0.9887,0.2000,0.9887,0.1000,0.9847
24,Supervised,answer,BERT-Q-a,softmax,faq,hard,0.5107,0.1905,0.5357,0.1265,0.5752,0.0755,0.5313
25,Supervised,question,BERT-Q-a,softmax,faq,hard,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
26,Supervised,question_answer,BERT-Q-a,softmax,faq,hard,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
27,Supervised,question_answer_concat,BERT-Q-a,softmax,faq,hard,0.9887,0.3333,0.9887,0.2000,0.9887,0.1000,0.9847
28,Supervised,answer,BERT-Q-a,softmax,user_query,simple,0.5209,0.1905,0.5499,0.1286,0.5857,0.0755,0.5451
29,Supervised,question,BERT-Q-a,softmax,user_query,simple,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
30,Supervised,question_answer,BERT-Q-a,softmax,user_query,simple,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
31,Supervised,question_answer_concat,BERT-Q-a,softmax,user_query,simple,0.9887,0.3333,0.9887,0.2000,0.9887,0.1000,0.9847
32,Supervised,answer,BERT-Q-a,softmax,user_query,hard,0.5094,0.1871,0.5383,0.1265,0.5778,0.0755,0.5349
